x,y1,y2
1,0,0.0255493101686
2,0,0.485436893204
3,0,0.229943791518
4,0,0.536535513541
5,1.11704711025,0.715380684722
6,2.28266148616,1.14971895759
7,3.78824672171,1.55850792029
8,3.9339485187,1.12416964742
9,3.49684312773,1.7118037813
10,3.78824672171,1.55850792029
11,3.69111219038,1.7118037813
12,3.64254492472,2.120592744
13,4.95386109762,2.73377618804
14,4.322486644,2.52938170669
15,4.22535211268,2.50383239653
16,3.83681398737,2.93817066939
17,4.12821758135,2.83597342872
18,3.73967945605,2.91262135922
19,2.67119961146,3.16811446091
20,2.96260320544,3.60245273378
21,4.17678484701,3.32141032192
22,3.25400679942,3.67910066428
23,3.10830500243,3.14256515074
24,2.52549781447,3.60245273378
25,2.86546867411,3.67910066428
26,2.33122875182,3.14256515074
27,2.37979601748,3.52580480327
28,1.50558523555,2.81042411855
29,1.99125789218,3.0148185999
30,1.40845070423,2.55493101686
31,1.35988343856,2.50383239653
32,1.55415250121,2.58048032703
33,1.35988343856,2.47828308636
34,1.55415250121,1.94174757282
35,1.26274890724,2.42718446602
36,1.11704711025,1.86509964231
37,0.971345313259,2.09504343383
38,0.971345313259,1.73735309147
39,0.777076250607,1.60960654062
40,0.388538125304,1.43076136944
41,0.437105390966,1.37966274911
42,0.82564351627,1.17526826776
43,0.534239922292,0.843127235565
44,0.339970859641,0.689831374553
45,0.194269062652,0.715380684722
46,0.194269062652,0.843127235565
47,0.582807187955,0.613183444047
48,0.194269062652,0.510986203373
49,0.242836328315,0.434338272867
50,0.242836328315,0.281042411855
51,0.145701796989,0.281042411855
52,0.339970859641,0.306591722024
53,0.0485672656629,0.459887583035
54,0.0971345313259,0.306591722024
55,0.194269062652,0.332141032192
56,0.0485672656629,0.204394481349
57,0.194269062652,0.153295861012
58,0.0971345313259,0.255493101686
59,0,0.0255493101686
60,0,0.0766479305059
61,0.145701796989,0.0255493101686
62,0.242836328315,0.0766479305059
63,0,0.127746550843
64,0.0485672656629,0.0255493101686
65,0.0971345313259,0.0510986203373
66,0.0971345313259,0
67,0.145701796989,0.0766479305059
68,0.0971345313259,0
69,0,0
